from_id,to_id,relation,anchor,evidence_quote,INFERRED,inferred_reason
R2-SUM-T3,SIM-E42,replicates,大审查/zcode/R2全批次总报告.md:18,C6 关闭；E42 复现；修正 85 部分升格 | C6 关闭；C2 部分关闭；C3 关闭（带新边界）,no,C6 关闭；E42 复现；修正 85 部分升格
R2-T1-2b,SIM-E122,replicates,大审查/zcode/R2全批次总报告.md:42,"判据 b（混合裁判 N4≥纯真值 80%）**不成立**：α=0.3 的 judge 连""挑出待整理候选""都做不好（E1",no,E122'judge 低效'在候选选择层的复现（α=0.3 的 judge 连挑候选都做不好）
R2-T1-4,SIM-E123,refutes,大审查/zcode/R2全批次总报告.md:52,三开不是正交互，**复合失配台账 +1**（第 9 例）。E123 锚点格（有审计无整理最差）未复现——本 harnes,no,E123 锚点格（有审计无整理最差）未复现——本 harness 的审计=cfg 回退，在数据空间几乎无害
R2-T2-2,SIM-E80,refutes,大审查/zcode/R2全批次总报告.md:63,"全部 ≥ static（0.0813）。**三振**：与 deepseek 探针 6、R1-2 并列，""E80 负交互在",no,三振（与 deepseek 探针 6、R1-2 并列）：E80 负交互在修正架构下结构性不可达，升格定理候选
R2-T3-2a,SIM-E42,replicates,大审查/zcode/R2全批次总报告.md:71,"E41 原始""严格 +0.165 反而更好""未在本网格任何地形复现**→ C2 裁决为部分关闭：谷地形下宽松严格立判（E",no,valley 地形精确复现 E42 语义：strict 步进贪心被 dip 锁死（f=0.913，达峰 9/12）vs loose 跨谷
R2-T3-2b,SIM-E41,refutes,大审查/zcode/R2全批次总报告.md:71,"E41 原始""严格 +0.165 反而更好""未在本网格任何地形复现**→ C2 裁决为部分关闭：谷地形下宽松严格立判（E",no,E41 原始'严格 +0.165 反而更好'未在本网格任何地形复现→C2 部分关闭
R2-T4-5,SIM-E26,replicates,大审查/zcode/R2全批次总报告.md:91,触发式刷新 T=0.4062 > never/p10/p25 0.3563**（E26/E69 方向复现：重锚有效,no,触发式刷新 T=0.4062 最优——E26/E69 方向复现：重锚有效
R2-T4-5,SIM-E69,replicates,大审查/zcode/R2全批次总报告.md:91,触发式刷新 T=0.4062 > never/p10/p25 0.3563**（E26/E69 方向复现：重锚有效,no,触发式刷新 T=0.4062 最优——E26/E69 方向复现：重锚有效
R2-M5,SIM-E80,refutes,大审查/zcode/R2全批次总报告.md:109,E80 级负交互在修正架构下结构性不可达**（三振；同源门天然不放大） | T2-2 + 探针6 + R1-2 | 定理,no,E80 级负交互在修正架构下结构性不可达（三振；同源门天然不放大）——定理候选
R2-ANCH-1,SIM-E121,refutes,大审查/zcode/R2全批次总报告.md:123,E121 α 梯度 −0.067→−0.004 | T1-1 v1/v2 | **未复现（两次）→收线**，梯度噪声稳健,no,E121 α 梯度 −0.067→−0.004 未复现（两次）→收线，梯度噪声稳健性存疑
R2A-T1-1,PLAN-T1-1,motivated_by,大审查/zcode/第二批推演沙盒实验树_规划.md:97,"若某通道冻结后 |Δ|≤0.01，判该通道为主传导路径；若各通道单独冻结均不消失，判""弥散性伤害""假说成立（多通道共担）",yes,机械推断链：R2-A 批次按《第二批推演沙盒实验树_规划》执行——T1-1 通道冻结/弥散性伤害判据预注册于规划（PLAN-T1-1），R2A-T1-1 为其实测
R2A-T2-1,PLAN-T2-1,motivated_by,大审查/zcode/第二批推演沙盒实验树_规划.md:133,"①分离臂展示类操纵空间=0（基因表中无呈交维度可动，构造性成立）且真值增益 ≥ 现行−0.01 → 判""通道切除可行""；",yes,机械推断链：T2-1 通道切除判据①②（含预注册反面判据）预注册于规划树（PLAN-T2-1），R2A-T2-1 执行
R2A-T3-1,PLAN-T3-1,motivated_by,大审查/zcode/第二批推演沙盒实验树_规划.md:154,若两配置在两场景代价同号（都正或都负）→ C6 消解为此前构造差异，两源架构文档各加注记；②若仍反号 → 逐参数交换 a,yes,机械推断链：T3-1 护栏代价符号判据（同号→C6 消解/反号→逐参数交换 ablation）预注册于规划树（PLAN-T3-1），R2A-T3-1 执行
VERIF-S5-01,SIM-E7,replicates,猴子记忆库推演/reports/05-阶段5-统计复核.md:6,E7 两级门控 —— ✅ 证实（完美分离精确复现）,no,E7 两级门控——✅ 证实（完美分离精确复现）
VERIF-S5-02,SIM-E7,replicates,猴子记忆库推演/reports/05-阶段5-统计复核.md:13,「完美分离，无一例外」在 24 种子下复现。地形自检：f(0.5)=0.500 局部最优 / f(0.9)=0.900 ,no,'完美分离，无一例外'在 24 种子下复现（地形自检 f(0.5)/f(0.9)/谷底全对）
VERIF-A4,SIM-REPORT,replicates,knowledge/trajectories/2026-09-09/task-022-bootstrap对抗验证.md:16,barrier 20/20 轮精确复现报告 5/60=92%，natural 61%，另发现撕裂读崩溃（报告未提）,yes,机械推断链：barrier 20/20 轮精确复现报告 5/60=92%（natural 61%）——对抗验证对象为 17 轮后总报告（解析为 SIM-REPORT）
VERIF-B4,SIM-REPORT,replicates,猴子记忆库推演/reports/00-验证总报告.md:35,12 进程丢更新 92%，accum=5≠60 | repro_p04（spawn 真进程×20 轮×2 时序） | b,yes,机械推断链：12 进程丢更新 92%（accum=5≠60）barrier 20/20 复现——报告 P0-4 动态复现（17 轮后口径 SIM-REPORT）
VERIF-E1,SIM-REPORT,replicates,猴子记忆库推演/reports/00-验证总报告.md:63,公理 D 不成立：审计链不含 payload，四条平行真相 | repro_a1① | e0 审计行=时间戳+prev+,no,repro_a1① 构造性复现报告架构层发现：公理 D 不成立——审计链不含 payload，四条平行真相
VERIF-X5,SIM-REPORT,refutes,猴子记忆库推演/reports/00-验证总报告.md:92,自我推翻计数口径不统一**：报告头「15 次自我推翻」vs 摘要「14 次判断」vs 第四部分表题「七次自我推翻」（表实,no,自我推翻计数口径不统一（报告头 15/摘要 14/表题 7）——报告内部账目一致性被证伪
VERIF-FINAL,SIM-REPORT,replicates,猴子记忆库推演/reports/00-验证总报告.md:124,可数结论零误差，机制性结论全部动态复现，动态数字（92%、60、五态全一致、doctor 首行输出）精确到逐字；唯一「与,no,可数结论零误差，机制性结论全部动态复现，动态数字（92%、60、五态全一致、doctor 首行）精确到逐字
PART2-RND-2,PART2-RND-1,motivated_by,大审查/reports/progress.md:89,噪声敏感性机制成立但阈值先验错 REFUTED（0.085→0.433→0.546）/ margin内点最优 INCON,yes,机械推断链：PART2 假设循环按轮次编号顺序执行（round-2 报告承接 round-1；data-archive/meta_log round 列单调），R2 motivated_by R1
PART2-RND-3,PART2-RND-2,motivated_by,大审查/reports/round-3-报告.md:14,single 臂切换后 A 能力平均掉 0.3782（retA=−0.3782，阈值 −0.10）。灾难性遗忘在最小引擎,yes,机械推断链：PART2 假设循环按轮次编号顺序执行（round-3 报告承接 round-2；data-archive/meta_log round 列单调），R3 motivated_by R2
PART2-RND-4,PART2-RND-3,motivated_by,大审查/reports/round-4-报告.md:12,尖峰世界终值均值 0.3508（平坦对照 0.7567，掉落 0.4059），中位数 0.0000，双峰分布（30% r,yes,机械推断链：PART2 假设循环按轮次编号顺序执行（round-4 报告承接 round-3；data-archive/meta_log round 列单调），R4 motivated_by R3
PART2-RND-5,PART2-RND-4,motivated_by,大审查/reports/round-5-报告.md:13,Pearson r=0.3605——早斜率能定符号，定不了幅度。早看方向、晚知终点。,yes,机械推断链：PART2 假设循环按轮次编号顺序执行（round-5 报告承接 round-4；data-archive/meta_log round 列单调），R5 motivated_by R4
PART2-RND-6,PART2-RND-5,motivated_by,大审查/reports/round-6-报告.md:13,"median trap_ratio=0.8319（终值达全局峰高的 83%），落在不确定带 [0.80,0.95)。91",yes,机械推断链：PART2 假设循环按轮次编号顺序执行（round-6 报告承接 round-5；data-archive/meta_log round 列单调），R6 motivated_by R5
PART2-RND-7,PART2-RND-6,motivated_by,大审查/reports/progress.md:95,双守卫INCONCLUSIVE：档案无小增益run(n=0)无其他源长序列(n=0)——R5双结论证据底盘=单族大增益;,yes,机械推断链：PART2 假设循环按轮次编号顺序执行（round-7 报告承接 round-6；data-archive/meta_log round 列单调），R7 motivated_by R6
PART2-RND-8,PART2-RND-7,motivated_by,大审查/reports/round-8-报告.md:12,两阶段门控假采纳率 0.2991（单阶段 0.5243，理论预测 ≈0.27），采纳机会天然减半（331 vs 639 ,yes,机械推断链：PART2 假设循环按轮次编号顺序执行（round-8 报告承接 round-7；data-archive/meta_log round 列单调），R8 motivated_by R7
PART2-RND-9,PART2-RND-8,motivated_by,大审查/reports/round-9-报告.md:12,尖峰世界两阶段终值 0.3372，非但不优于单阶段（0.3508），还略低 0.0136；收敛率 30%→20%。,yes,机械推断链：PART2 假设循环按轮次编号顺序执行（round-9 报告承接 round-8；data-archive/meta_log round 列单调），R9 motivated_by R8
PART2-RND-10,PART2-RND-9,motivated_by,大审查/reports/progress.md:98,NARRATIVE三区定律被REFUTED——真相U形(缓坡0.015<<峰0.32<荒漠0.854)/尖峰守卫INC,yes,机械推断链：PART2 假设循环按轮次编号顺序执行（round-10 报告承接 round-9；data-archive/meta_log round 列单调），R10 motivated_by R9
PART2-RND-11,PART2-RND-10,motivated_by,大审查/reports/round-11-报告.md:13,低带 0.8914 > 中带 0.6118 > 高带 0.1568（n=267/85/287，两段 gap 0.2796,yes,机械推断链：PART2 假设循环按轮次编号顺序执行（round-11 报告承接 round-10；data-archive/meta_log round 列单调），R11 motivated_by R10
PART2-RND-12,PART2-RND-11,motivated_by,大审查/reports/progress.md:101,红队失败=梯度律鲁棒(两套扰动带严格单调min gap 0.688)/池化跨世界SUPPORTED 0.848>0.59,yes,机械推断链：PART2 假设循环按轮次编号顺序执行（round-12 报告承接 round-11；data-archive/meta_log round 列单调），R12 motivated_by R11
PART2-RND-1,PART2-PREREG-1,motivated_by,大审查/reports/round-1-预注册.md:34,RED_TEAM: 1 0,yes,机械推断链：round-1 报告按 round-1 预注册执行（先锁后跑纪律，meta_log），RND-1 motivated_by PREREG-1
PART2-RND-2,PART2-PREREG-2,motivated_by,大审查/reports/round-2-预注册.md:12,"格设计：H-R2-1 用 (σ∈{0.02,0.06,0.10}, margin=0.05)；H-R2-2 用 (σ=0",yes,机械推断链：round-2 报告按 round-2 预注册执行（先锁后跑纪律，meta_log），RND-2 motivated_by PREREG-2
PART2-RND-3,PART2-PREREG-3,motivated_by,大审查/reports/round-3-预注册.md:11,**pareto**（K=5）：parent=档案中 obs_当前最高者；候选加入档案后，若超容：优先淘汰**被支配**,yes,机械推断链：round-3 报告按 round-3 预注册执行（先锁后跑纪律，meta_log），RND-3 motivated_by PREREG-3
PART2-RND-4,PART2-PREREG-4,motivated_by,大审查/reports/round-4-预注册.md:13,U_sharp(x)=exp(−‖x−t‖²/(2·0.15²))（窄高斯峰，r=0.15；远场梯度趋零=超平坦荒漠）。,yes,机械推断链：round-4 报告按 round-4 预注册执行（先锁后跑纪律，meta_log），RND-4 motivated_by PREREG-4
PART2-RND-5,PART2-PREREG-5,motivated_by,大审查/reports/round-5-预注册.md:31,初稿手算有误（A 早斜率算成 0.0600，正确 0.0650——分子应为 0.32+0.06+0.09+0.18=0.,yes,机械推断链：round-5 报告按 round-5 预注册执行（先锁后跑纪律，meta_log），RND-5 motivated_by PREREG-5
PART2-RND-6,PART2-PREREG-6,motivated_by,大审查/reports/round-6-预注册.md:48,档案与 E 系列均无多峰景观实验（E12 平台期三态是时间形态非空间形态；R2-R4 全单峰）。REVIEW-DRIVE,yes,机械推断链：round-6 报告按 round-6 预注册执行（先锁后跑纪律，meta_log），RND-6 motivated_by PREREG-6
PART2-RND-7,PART2-PREREG-7,motivated_by,大审查/reports/round-7-预注册.md:28,初稿手算两处错（A 早斜率 0.019→**0.0150**；B 0.13→**0.1400**——分子求和错误），自测,yes,机械推断链：round-7 报告按 round-7 预注册执行（先锁后跑纪律，meta_log），RND-7 motivated_by PREREG-7
PART2-RND-8,PART2-PREREG-8,motivated_by,大审查/reports/round-8-预注册.md:46,两阶段 vs margin 的头对头是新的。NOVELTY=1 ×2。,yes,机械推断链：round-8 报告按 round-8 预注册执行（先锁后跑纪律，meta_log），RND-8 motivated_by PREREG-8
PART2-RND-9,PART2-PREREG-9,motivated_by,大审查/reports/round-9-预注册.md:7,与 engine_r4 完全同构（窄高斯峰 r=0.15、σ=0.08、margin=0.05、step=0.35、G=,yes,机械推断链：round-9 报告按 round-9 预注册执行（先锁后跑纪律，meta_log），RND-9 motivated_by PREREG-9
PART2-RND-10,PART2-PREREG-10,motivated_by,大审查/reports/round-10-预注册.md:46,区域边界 0.6/0.2 是我自选的，若排序对边界敏感则结论脆弱——boundary_conditions 必须注明。,yes,机械推断链：round-10 报告按 round-10 预注册执行（先锁后跑纪律，meta_log），RND-10 motivated_by PREREG-10
PART2-RND-11,PART2-PREREG-11,motivated_by,大审查/reports/round-11-预注册.md:12,"梯度带（锁定）：低 <0.1；中 [0.1,0.5)；高 ≥0.5。",yes,机械推断链：round-11 报告按 round-11 预注册执行（先锁后跑纪律，meta_log），RND-11 motivated_by PREREG-11
PART2-RND-12,PART2-PREREG-12,motivated_by,大审查/reports/round-12-预注册.md:3,sandbox/out/r11_gradient.json（hash 4f9e05d4…，零新模拟）。,yes,机械推断链：round-12 报告按 round-12 预注册执行（先锁后跑纪律，meta_log），RND-12 motivated_by PREREG-12
PART2-RND-2,SIM-E41,replicates,大审查/reports/round-2-报告.md:14,"margin=0.30 确实饿死采纳（125 事件 vs 968）且终值最低（0.7053）——E41""margin 太",no,margin=0.30 确实饿死采纳（125 事件 vs 968）且终值最低——E41'margin 太大饿死采纳'方向复现
PART2-RND-3,SIM-E18,replicates,大审查/reports/round-3-报告.md:16,"E18 引申部分成立**：""跨库/多目标有代价""的方向在最小引擎中出现（−0.0656），但幅度落入不确定带",no,E18 引申部分成立：'跨库/多目标有代价'的方向在最小引擎中出现（−0.0656，幅度落入不确定带）
PART2-RND-5,SIM-E12,replicates,大审查/reports/round-5-报告.md:14,"87.5% 的 ≥8 点 run 末 5 代 |斜率|<0.005。E12 平台期三态的""平台普遍性""一侧在统一档案中量",no,87.5% 的 ≥8 点 run 末 5 代趋平——E12 平台期三态的'平台普遍性'一侧在统一档案中量化坐实
PART2-PREREG-3,SIM-E16,replicates,大审查/reports/round-3-预注册.md:4,H-R3-1 复现 E16（灾难性遗忘，单一档案）；H-R3-2 复现 E11（Pareto 档案恢复力）；H-R3-3,yes,机械推断链：round-3 预注册声明'H-R3-1 复现 E16（灾难性遗忘，单一档案）'，data-archive 记 SUPPORTED → 复现成立
PART2-PREREG-3,SIM-E11,replicates,大审查/reports/round-3-预注册.md:4,H-R3-1 复现 E16（灾难性遗忘，单一档案）；H-R3-2 复现 E11（Pareto 档案恢复力）；H-R3-3,yes,机械推断链：round-3 预注册声明'H-R3-2 复现 E11（Pareto 档案恢复力）'，data-archive 记 SUPPORTED
PART2-FINAL,SIM-E16,replicates,大审查/reports/98-反思与报告.md:20,E16 灾难性遗忘强复现（retention −0.3782）；Pareto 档案缓解 +0.343（配对 61%）但塑,no,E16 灾难性遗忘强复现（retention −0.3782）；Pareto 档案缓解 +0.343（配对 61%）
PART2-FINAL,SIM-E7,replicates,大审查/reports/98-反思与报告.md:53,E16 遗忘、E13/E7 两阶段门控复现 | R3/R8 锁定输出，效应量 0.38/0.22 级,no,E16 遗忘、E13/E7 两阶段门控复现（R3/R8 锁定输出，效应量 0.38/0.22 级）
PART2-FINAL,SIM-E13,replicates,大审查/reports/98-反思与报告.md:53,E16 遗忘、E13/E7 两阶段门控复现 | R3/R8 锁定输出，效应量 0.38/0.22 级,no,E16 遗忘、E13/E7 两阶段门控复现（R3/R8 锁定输出，效应量 0.38/0.22 级）
PART2-H-R8-2,PART2-H-R8-1,extends,大审查/data-archive.csv:19,"8,H-R8-2,LIT-REPLICATE,机制,0.7984,0.55,0.85,0.0417,SUPPORTED,",yes,机械推断链：同轮假设 H-R8-2（两阶段）以 H-R8-1（单阶段）为对照并扩展——终值 0.7984 非劣且优于单阶段
PART2-H-R4-1,PART2-LAB,refutes,大审查/reports/round-4-预注册.md:20,尖峰世界终值塌缩——mean_final_sharp < 0.45（吸收论被证伪：景观尖锐度是假采纳代价的调节变量）。,yes,机械推断链：吸收论被证伪（景观尖锐度是假采纳代价的调节变量）——'吸收普遍论'直觉出自 lab-notebook（PART2-LAB:29'最自信的直觉'）
PART2-ANALYSIS,SIM-E14,contradicts,大审查/reports/06-ANALYSIS-FINAL.md:31,混元 E14 第四轮侧数据建议整体降权——第五轮重跑值与其构成 DUP_CONFLICT 且混元自述修正（该自述属原始日,no,混元 E14 第四轮侧数据与第五轮重跑值构成 DUP_CONFLICT 且混元自述修正——建议整体降权
PART2-JUDGE,SIM-E14,contradicts,大审查/reports/05-研判.md:46,| C1 | 混元 E14 两轮数据不一致（DUP_CONFLICT×6，03-flags §2） | 第四轮 L24：,no,C1：混元 E14 两轮数据不一致（DUP_CONFLICT×6，03-flags §2）
PART2-FLAGS,SIM-E14,contradicts,大审查/reports/03-flags.md:35,附注：起点列也不同（0.7844 vs 0.2594）——两轮的世界/起点并非同一设置，冲突值未裁决，如实并陈,no,E14 第四轮 vs 第五轮起点列不同（0.7844 vs 0.2594）——两轮世界/起点非同一设置，冲突值未裁决如实并陈
CB-MEMEVOLVE,SIM-SUM14,replicates,大审查/codebuddy/mem-evolve-sandbox_交接/docs/实验设计.md:169,铁律 2 **未拦截**（空串绕过，复现 P0-2）；铁律 5 拦截正常,yes,机械推断链：复现报告 P0-2（铁律 2 空串绕过拦截失败）——codebuddy 依据混元 14 轮后版总报告（1-版本谱系§三），解析为 SIM-SUM14
CB-MEMEVOLVE,SIM-E7,refutes,大审查/codebuddy/mem-evolve-sandbox_交接/docs/任务报告.md:277,地形塑形项是基因组级的，必须摊到逐任务分上，否则留出集配对比较看不见它（E7 直接复现失败,no,E7 直接复现失败：地形塑形项是基因组级的，必须摊到逐任务分，否则留出集配对比较看不见它（E7 欺骗地形缩水）
CB-MEMEVOLVE,SIM-E52,refutes,大审查/codebuddy/mem-evolve-sandbox_交接/docs/实验报告.md:300,"**E52 未复现**（报告称 70% 独立噪声几乎无损）：本沙盒噪声是""把金标替换成随机条目",no,E52 未复现（报告称 70% 独立噪声几乎无损；本沙盒噪声=金标替换为随机条目）
CB-MEMEVOLVE,SIM-E64,refutes,大审查/codebuddy/mem-evolve-sandbox_交接/docs/任务报告.md:315,"E64 预算 < 150 终局恒为负 | **未复现** | 预算模型缺少""演化的固定成本""项，结构上不可能为负",no,E64'预算 <150 时终局恒为负'未复现——本沙盒预算模型只限制代数，缺演化固定成本项，结构上不可能为负
CB-MEMEVOLVE,SIM-E26,replicates,大审查/codebuddy/mem-evolve-sandbox_交接/docs/实验设计.md:358,冻结后自报−真实缺口仍残留 +0.14~+0.21。这与报告 E26/E27 一致——真正解决问题的是**重锚**（重新,no,冻结后自报−真实缺口仍残留——与报告 E26/E27 一致：真正解决问题的是重锚，不是冻结/回滚
CB-MEMEVOLVE,SIM-E27,replicates,大审查/codebuddy/mem-evolve-sandbox_交接/docs/实验设计.md:358,冻结后自报−真实缺口仍残留 +0.14~+0.21。这与报告 E26/E27 一致——真正解决问题的是**重锚**（重新,no,冻结后自报−真实缺口仍残留——与报告 E26/E27 一致：真正解决问题的是重锚，不是冻结/回滚
GLM-WO-v3.10,GLM-WO-v3.8,supersedes,大审查/glm/v3.10.md:44,daemon 常驻进程                                                 ,yes,工单版本链机械推断：glm v3.8 修复工单 → v3.10 架构优化工单（版本号最高者优先，目录文件名序）
GLM-WEB-v4.0,GLM-WO-v3.10,refutes,大审查/glm/v4.0-1.md:34,v4 工单 D-1 的裁决需要推翻**。当时的理由是“审计面是证明面，不是存储，重建会让链膨胀为第二存储”。那个裁决在“,no,v4 工单 D-1 的裁决需要推翻——当时理由在'改造成本最小化'前提下成立，该前提已变
REVIEW-GLM,GLM-WO-v3.10,refutes,大审查/复审/GLM-裁决.md:41,属实且是全场最深的架构洞察**。推翻自家 v3.10 D-1 的理由（前提变了：完全重构下成本约束消失）符合 ADR 制,no,复审认定：推翻自家 v3.10 D-1 的理由（前提变了）符合 ADR 制度精神
REVIEW-Qwen,GLM-WO-v3.10,refutes,大审查/复审/Qwen-裁决.md:27,三方收敛于「做实」**，GLM D-1 是早期裁决且其 v4.0-1 已自我推翻,no,三方收敛于'做实'；GLM D-1 是早期裁决且其 v4.0-1 已自我推翻
REVIEW-GLM,GLM-WEB-v4.0,contradicts,大审查/复审/GLM-裁决.md:34,**与「单文件+纯标准库」公理冲突**——GLM 自己提出 zipapp bundle 替代单 .py 形态。这是方向性,no,zipapp bundle 替代单 .py 与'单文件+纯标准库'公理冲突——方向性变更，列 v5 另议
REVIEW-GLM,SIM,replicates,大审查/复审/GLM-裁决.md:58,与混元实验独立趋同**：GLM 纸面设计（hypothesis 可证伪/隐判据人侧/E0 优先）≈ 混元沙盒验证（双门/,no,GLM 纸面设计（hypothesis 可证伪/隐判据人侧/E0 优先）≈ 混元沙盒验证（双门/判据人侧/E0 优先）——两个模型独立趋同
QWEN-v3.10-AR,QWEN-v3.8,motivated_by,大审查/qwen/工单 v3.8.extract.txt:198,全树重算 O(n)”为已知扩展性项，非本工单缺陷；建议 v3.10 单独立项做增量哈希树,no,v3.8 工单建议：'全树重算 O(n)'为已知扩展性项，建议 v3.10 单独立项做增量哈希树
SYN-报告一,QWEN-v3.8,replicates,大审查/统合报告/报告一_v3.8改进建议综合报告.md:26,MIGRATED 渲染 KeyError**：migrate 库上 build-docs --lib / install,yes,机械推断链：统合报告核验 MIGRATED 渲染 KeyError（GLM Q-005）——Q-005 为 qwen 工单 v3.8 条目，核验=复现其发现
KB-TASK-022,SYN-报告一,supersedes,knowledge/trajectories/2026-09-07/task-022-v38执行.md:35,用户判定为「审的一坨」，统合报告目录与核验脚本已整体删除（用户指令）。本条为修正记录，原追加内容保留作历史但其中「落盘」,no,用户判定'审的一坨'，统合报告目录与核验脚本整体删除（用户指令）——原'落盘'状态作废
KB-TASK-022,REVIEW-GLM,supersedes,knowledge/trajectories/2026-09-07/task-022-v38执行.md:43,混元 BUG-001 对 render_quickref 的批评比 GLM 深（{N}/{N} 恒等式冒充测量，违反公理,no,混元 BUG-001 对 render_quickref 的批评比 GLM 深——修正对 GLM 的部分判决
REVIEW-混元,SIM-REPORT,contradicts,大审查/复审/混元-裁决.md:44,原型清单列 evolve2.py（缺失）；17 轮报告复现段列 evolve4.py/run_e9.py（缺失）；run,yes,机械推断链：17 轮报告复现段所列 evolve2.py/evolve4.py/run_e9.py 等脚本缺失——可复现性主张与交接材料不符（对象为 17 轮后总报告）
DB-V4-WO,DB-V4-EXPLORE,motivated_by,大审查/豆包/v4.0library-bootstrap v4 完全重构工单.md:14,`bootstrap_v3.py`（单文件，2416 行，v3.8.1） |,yes,机械推断链：v4 完全重构工单以《架构可能性深度探索》为前置（探索报告评估事件溯源/CQRS/六边形→工单立项）
META-HANDOVER,SIM-E14,replicates,HANDOVER.md:97,事件溯源内核四项全胜 v3 状态机,no,锚定审计是唯一不可替代护栏（E14 真引擎复现）
META-HANDOVER,SIM-E7,refutes,HANDOVER.md:94,层次化归并/近因加权/1/5 步长/简单恢复/回滚/元参数开放/跨库迁移/逐参独立调优（17 轮 12 条全败）,no,E7 欺骗地形真引擎仅浅谷
META-HANDOVER,SIM-E32,refutes,HANDOVER.md:94,层次化归并/近因加权/1/5 步长/简单恢复/回滚/元参数开放/跨库迁移/逐参独立调优（17 轮 12 条全败）,no,E32 实测重要度冷启动失败
META-HANDOVER,SIM-E57,refutes,HANDOVER.md:94,层次化归并/近因加权/1/5 步长/简单恢复/回滚/元参数开放/跨库迁移/逐参独立调优（17 轮 12 条全败）,no,E57 相关噪声击穿未复现
META-HANDOVER,SIM-E80,refutes,HANDOVER.md:94,层次化归并/近因加权/1/5 步长/简单恢复/回滚/元参数开放/跨库迁移/逐参独立调优（17 轮 12 条全败）,no,E80 复合负交互未复现
KB-TASK-020,SIM-HANDOVER,motivated_by,knowledge/trajectories/2026-09-08/task-020-自演化沙盒.md:79,交付 26 轮推演交接包（125 实验 / kernel.py v1 内核 / HANDOVER 交接文档 / veri,no,HANDOVER 指名交本会话：交付 26 轮推演交接包（125 实验/kernel.py v1/HANDOVER/verify 脚本）
