kind,ref_anchor,ref_type,ref_status,blind_file_line,blind_type,blind_status,ref_quote,blind_quote
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十四轮.md:35,verdict,open,大审查/混元/bootstrap_自演化推演_第二十四轮.md:35,verdict,verified,盲评是第一道防线（结构性削弱污染通道），审计是第二道（周期性外部读数,盲评是第一道防线（结构性削弱污染通道），审计是第二道（周期性外部读数）。**
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十四轮.md:32,result,verified,大审查/混元/bootstrap_自演化推演_第二十四轮.md:32,verdict,verified,真正兜底的是**盲评**（`blind=True`，把 judge 的表象影响从 0.5 压到 0.05,真正兜底的是**盲评**（`blind=True`，把judge的表象影响从0.5压到0.05）。
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十四轮.md:7,result,verified,大审查/混元/bootstrap_自演化推演_第二十四轮.md:7,verdict,verified,主判断被推翻（两个方向都被推翻,结果：**主判断被推翻（两个方向都被推翻）**
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十三轮.md:203,verdict,open,大审查/混元/bootstrap_自演化推演_第二十三轮.md:203,verdict,verified,证伪比证实容易，所以负面清单比收益数字更稳健,证伪比证实容易，所以负面清单比收益数字更稳健。**
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十三轮.md:133,verdict,open,大审查/混元/bootstrap_自演化推演_第二十三轮.md:133,verdict,verified,自演化系统的性能 = 探索力 × 筛选力的配对质量,自演化系统的性能=探索力×筛选力的配对质量。**
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十三轮.md:96,result,open,大审查/混元/bootstrap_自演化推演_第二十三轮.md:96,result,verified,v4-B 的展示权重回升到 18.305**（v4-A 只有 5.138,v4-B的展示权重回升到18.305**（v4-A只有5.138）。
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十三轮.md:72,result,verified,大审查/混元/bootstrap_自演化推演_第二十三轮.md:72,result,superseded,单独加大幅度是负收益（−0.048）**。只有在审计加入后（步骤 3），才产生 +0.162 的巨大边际收益,单独加大幅度是负收益（−0.048）**。只有在审计加入后（步骤3），才产生+0.162的巨大边际收益。
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十三轮.md:22,result,verified,大审查/混元/bootstrap_自演化推演_第二十三轮.md:22,result,superseded,但曲线在 2.0 之后回落**（2.5 时 +0.095、3.0 时 +0.108），说明 **2.0 附近是峰值**，,"但曲线在2.0之后回落**（2.5时+0.095、3.0时+0.108），说明**2.0附近是峰值**，不是""越大越好"""
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十二轮.md:160,verdict,open,大审查/混元/bootstrap_自演化推演_第二十二轮.md:160,verdict,verified,可靠的结论只有一条：**不要把所有预算投在审计上,可靠的结论只有一条：**不要把所有预算投在审计上**。
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十二轮.md:101,verdict,open,大审查/混元/bootstrap_自演化推演_第二十二轮.md:101,verdict,verified,独立性是全部审计机制的前提，而不是可选项,独立性是全部审计机制的前提，而不是可选项。**
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十二轮.md:74,result,open,大审查/混元/bootstrap_自演化推演_第二十二轮.md:74,result,verified,结构演化只带来 +0.004** —— 微不足道,结构演化只带来+0.004**——微不足道。
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十二轮.md:58,method,open,大审查/混元/bootstrap_自演化推演_第二十二轮.md:58,verdict,verified,正确配置 = 大幅度搜索 + 审计缰绳。** 两者是配套的，单独用任何一个都不是最优,正确配置=大幅度搜索+审计缰绳。**
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十一轮.md:212,hypothesis,open,大审查/混元/bootstrap_自演化推演_第二十一轮.md:212,result,open,"E100 的 alpha 曲线非单调**，可能是噪声（10 种子，差异 0.01 量级）。可靠的是""整体平坦","E100的alpha曲线非单调**，可能是噪声（10种子，差异0.01量级）。可靠的是""整体平坦"""
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十一轮.md:162,result,open,大审查/混元/bootstrap_自演化推演_第二十一轮.md:162,verdict,superseded,把盲评做到极致，收益也就 +0.081,把盲评做到极致，收益也就+0.081。**
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十一轮.md:89,method,open,大审查/混元/bootstrap_自演化推演_第二十一轮.md:89,verdict,verified,审计频率比样本量重要得多。** 正确做法是**先保证频率（每 5 代），再谈样本量**（2 个样本就够，收益已达 +0.,**审计频率比样本量重要得多。**正确做法是**先保证频率（每5代），再谈样本量**（2个样本就够，收益已达+0.059
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十一轮.md:55,method,open,大审查/混元/bootstrap_自演化推演_第二十一轮.md:55,verdict,verified,与其精确标定一个参数，不如**加一个能纠错的监控,与其精确标定一个参数，不如**加一个能纠错的监控**。
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十一轮.md:28,verdict,open,大审查/混元/bootstrap_自演化推演_第二十一轮.md:28,verdict,verified,"保留 cap=8 的建议，但理由改变**：不是""8 最优""，而是""**≥8 后无差异，取 8 留出多样性余量","保留cap=8的建议，但理由改变**：不是""8最优""，而是""**≥8后无差异，取8留出多样性余量**""。"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十轮.md:171,parameter,open,大审查/混元/bootstrap_自演化推演_第二十轮.md:171,verdict,verified,这是在一个 60 条目、6 类 query 的玩具世界里的数字。真实系统的收益无法从这里外推,绝对收益+0.037意味着什么**：这是在一个60条目、6类query的玩具世界里的数字。真实系统的收益无法从这里外推。
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十轮.md:166,verdict,open,大审查/混元/bootstrap_自演化推演_第二十轮.md:166,verdict,verified,可行，但收益比前十七轮估计的要小得多，成本要高得多,可行，但收益比前十七轮估计的要小得多，成本要高得多。**
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十轮.md:102,verdict,open,大审查/混元/bootstrap_自演化推演_第二十轮.md:102,verdict,superseded,cap 与 tol 的最优值在本轮未能可靠测定。** 保留 E72（cap=8）与 E55（tol=0.02–0.06）,cap与tol的最优值在本轮未能可靠测定。**
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十轮.md:98,result,superseded,大审查/混元/bootstrap_自演化推演_第二十轮.md:98,result,contradicted,tol 与 E55 矛盾**：tol=0.15（宽松）最好 +0.0412，tol=0.04 最差 +0.0127。E5,tol与E55矛盾**：tol=0.15（宽松）最好+0.0412，tol=0.04最差+0.0127。
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十轮.md:96,verdict,open,大审查/混元/bootstrap_自演化推演_第二十轮.md:96,verdict,verified,cap 完全失效（F-20）**：我在 `run()` 里把 Pareto 压缩实现成了 `arch = arch[-c,cap完全失效（F-20）**：我在`run()`里把Pareto压缩实现成了`arch=arch[-cap:]`，**
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十轮.md:68,result,verified,大审查/混元/bootstrap_自演化推演_第二十轮.md:68,verdict,verified,"v3 与 v4-A 的差距是 0.074** —— 这是本轮最有说服力的数字：在最坏世界里，**A 轮修正把系统从""明确","v3与v4-A的差距是0.074**——这是本轮最有说服力的数字：在最坏世界里，**A轮修正把系统从""明确有害""拉到""明"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十轮.md:54,result,open,大审查/混元/bootstrap_自演化推演_第二十轮.md:54,result,verified,预算 200（+0.0247）比预算 120（+0.0310）更差**。这与 E80（复合危险下护栏负交互）、E60（参,预算200（+0.0247）比预算120（+0.0310）更差**。
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十九轮.md:127,verdict,open,大审查/混元/bootstrap_自演化推演_第十九轮.md:127,verdict,verified,E91 零乘锁死**：变异用 `w * choice([...])`，起点为 0 时永远是 0 → 表象权重恒为 0，实,E91零乘锁死**：变异用`w*choice([...])`，起点为0时永远是0→表象权重恒为0，实验完全无效|
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十九轮.md:118,method,open,大审查/混元/bootstrap_自演化推演_第十九轮.md:118,verdict,verified,审计必须不可预知**——随机时点、随机样本。这是唯一能压低伪装收益的手段,审计必须不可预知**——随机时点、随机样本。
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十九轮.md:89,method,open,大审查/混元/bootstrap_自演化推演_第十九轮.md:89,verdict,verified,推荐：每 5 代 × 4~8 样本作为默认配置,推荐：每5代×4~8样本作为默认配置。**
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十九轮.md:63,verdict,open,大审查/混元/bootstrap_自演化推演_第十九轮.md:63,verdict,verified,委派红线**：当 judge 可被表象影响的比例 ≥ 50% 时，**任何类型的判断都不可委派**（一致率 ≈ 随机,委派红线**：当judge可被表象影响的比例≥50%时，**任何类型的判断都不可委派**（一致率≈随机）。
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十九轮.md:55,result,open,大审查/混元/bootstrap_自演化推演_第十九轮.md:55,result,verified,任何类型在污染 ≥50% 时都退化到 ~55%（接近随机）**。50% 污染意味着 judge 一半看真值一半看表象——,任何类型在污染≥50%时都退化到~55%（接近随机）**。
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十九轮.md:37,verdict,open,大审查/混元/bootstrap_自演化推演_第十九轮.md:37,verdict,verified,真实系统应按协调式变异的情形理解**：维度越多越危险,真实系统应按协调式变异的情形理解**：维度越多越危险
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十八轮.md:174,hypothesis,open,大审查/混元/bootstrap_自演化推演_第十八轮.md:174,hypothesis,verified,"E86 依赖单点变异算子**——若算子能协调多维（真实系统的 prompt 改写可以），""维度是稀释剂""的结论可能反转。","E86依赖单点变异算子**——若算子能协调多维（真实系统的prompt改写可以），""维度是稀释剂""的结论可能反转。"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十八轮.md:150,verdict,open,大审查/混元/bootstrap_自演化推演_第十八轮.md:150,verdict,verified,有效的防御是**削弱污染通道本身**（盲评），而不是**增加一个读数,有效的防御是**削弱污染通道本身**（盲评），而不是**增加一个读数**（审计）。
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十八轮.md:86,hypothesis,refuted,大审查/混元/bootstrap_自演化推演_第十八轮.md:86,verdict,refuted,给系统更多可操纵维度，反而让它更难找到操纵路径**（在变异是单点扰动的条件下,给系统更多可操纵维度，反而让它更难找到操纵路径**（在变异是单点扰动的条件下）。
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十八轮.md:66,verdict,open,大审查/混元/bootstrap_自演化推演_第十八轮.md:66,verdict,verified,任何由 judge 产出的数字，都不能作为对外报告的指标,任何由judge产出的数字，都不能作为对外报告的指标。**
FIELD-DIFF,大审查/混元/bootstrap_A轮_实验世界升级.md:183,hypothesis,open,大审查/混元/bootstrap_A轮_实验世界升级.md:183,parameter,open,表象特征我只设了 4 个**——真实文本的可操纵维度实际上是无限的（语气、自信度、引用权威、篇幅、结构…）。**真实系统,表象特征我只设了4个**——真实文本的可操纵维度实际上是无限的
FIELD-DIFF,大审查/混元/bootstrap_A轮_实验世界升级.md:146,verdict,open,大审查/混元/bootstrap_A轮_实验世界升级.md:146,verdict,superseded,真值验收会成为注意力开销的主体**，远超此前的估计,真值验收会成为注意力开销的主体**，远超此前的估计。
FIELD-DIFF,大审查/混元/bootstrap_A轮_实验世界升级.md:89,method,open,大审查/混元/bootstrap_A轮_实验世界升级.md:89,verdict,verified,任务集必须由外部提供或至少外部抽样校验,任务集必须由外部提供或至少外部抽样校验。**
FIELD-DIFF,大审查/混元/bootstrap_A轮_实验世界升级.md:37,hypothesis,verified,大审查/混元/bootstrap_A轮_实验世界升级.md:37,verdict,verified,锚定集的判断来自同一个 judge。judge 被表象影响 → 锚定集也被表象影响,锚定集的判断来自同一个judge。judge被表象影响→锚定集也被表象影响。**
FIELD-DIFF,猴子记忆库推演/自演化推演_实验总报告17轮后.md:797,verdict,open,猴子记忆库推演/自演化推演_实验总报告17轮后.md:797,result,verified,> 已确认：本架构在 **≥3 种危险同时出现时不可靠**。这是必须写入文档的边界。,已确认：本架构在**≥3种危险同时出现时不可靠
FIELD-DIFF,猴子记忆库推演/自演化推演_实验总报告17轮后.md:661,result,open,猴子记忆库推演/自演化推演_实验总报告17轮后.md:661,result,verified,"**有漂移时 v3 退化到 −0.1124——比它自己的起点还差，即""跑完一整套演化，产物不如不演化""，而内部指标全绿。","有漂移时v3退化到−0.1124——比它自己的起点还差，即""跑完一整套演化，产物不如不演化""，而内部指标全绿"
FIELD-DIFF,猴子记忆库推演/自演化推演_实验总报告17轮后.md:251,result,open,猴子记忆库推演/自演化推演_实验总报告17轮后.md:251,result,verified,| **80** | **复合灾难** | **v4 反而更差(−0.26 vs −0.11)**：护栏负交互 | **,复合灾难**|**v4反而更差(−0.26vs−0.11)**：护栏负交互
FIELD-DIFF,猴子记忆库推演/自演化推演_实验总报告17轮后.md:3,parameter,open,猴子记忆库推演/自演化推演_实验总报告17轮后.md:3,parameter,verified,> **范围**：从代码审查到十七轮自演化推演的全部实测结果（**80 个实验** + 3 个架构原型 + **19 次,从代码审查到十七轮自演化推演的全部实测结果（**80个实验**+3个架构原型+**19次实验设计失败记录**+**15次
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十三轮.md:170,method,verified,大审查/混元/bootstrap_自演化推演_第十三轮.md:170,verdict,verified,"锚定集（启用前采集）、人类签名（元层）、异质标注者（E57）。**这三者是全部架构中仅有的""外部性""来源，也是最该被保护",在系统之外保留不可移动的参照点**——锚定集（启用前采集）、人类签名（元层）、异质标注者（E57）。**这三者是全部架构
FIELD-DIFF,大审查/混元/v3.8bootstrap_v3_修复工单.md:862,method,verified,大审查/混元/v3.8bootstrap_v3_修复工单.md:862,result,verified,改 `emotion_decay` 会让 `self_hash()` 变化，进而使人侧抄录的包锚点全部失效。,配置与代码共用一个哈希——改`emotion_decay`会让`self_hash()`变化，进而使人侧抄录的包锚点全部
FIELD-DIFF,大审查/混元/v3.9bootstrap_v3_v4重构工单集.md:15,method,verified,大审查/混元/v3.9bootstrap_v3_v4重构工单集.md:15,verdict,verified,消掉 P0-4（并发丢更新 92%）与一个此前未发现的安全硬伤（截断攻击检不出）,却能同时消掉P0-4（并发丢更新92%）与一个此前未发现的安全硬伤（截断攻击检不出
FIELD-DIFF,大审查/混元/bootstrap_A轮_实验世界升级.md:148,hypothesis,open,大审查/混元/bootstrap_A轮_实验世界升级.md:148,hypothesis,verified,"E64 的""注意力门槛""结论需要**上修**：此前算出的 150 单位，在 judge 可被操纵的现实下可能要高得多",此前算出的150单位，在judge可被操纵的现实下可能要高得多。
FIELD-DIFF,大审查/混元/P0验证_展示权重爆炸.md:138,result,refuted,大审查/混元/P0验证_展示权重爆炸.md:138,result,superseded,"strict 完全无效**：结果与 danger 逐位相同。原因：回退次数仅 0.5，审计几乎不触发，""基线只增不减""没",③strict完全无效**：结果与danger逐位相同。
FIELD-DIFF,大审查/混元/bootstrap_自演化架构设计方案.md:156,verdict,open,大审查/混元/bootstrap_自演化架构设计方案.md:156,verdict,verified,"效用函数定义了""什么叫做更好""。写错它，系统就会高效地优化错误的目标——这是**设计层的 objective hacki",系统就会高效地优化错误的目标——这是**设计层的objectivehacking，元层机制防不住**。
FIELD-DIFF,大审查/混元/自演化推演_实验总报告.md:3,parameter,verified,大审查/混元/自演化推演_实验总报告.md:3,parameter,superseded,18 个实验 + 3 个架构原型 + 6 次实验设计失败记录）,从代码审查到四轮自演化推演的全部实测结果（18个实验+3个架构原型+6次实验设计失败记录
FIELD-DIFF,大审查/codebuddy/mem-evolve-sandbox_交接/docs/实验设计.md:421,result,verified,大审查/混元/实验设计.md:421,method,verified,**加速 7.5×**（anchor run 20.1s → 2.7s，锚定集构造 2.40s → 0.40s,加速7.5×**（anchorrun20.1s→2.7s，锚定集构造2.40s→0.40s）。
FIELD-DIFF,大审查/混元/bootstrap_A轮_实验世界升级.md:163,verdict,open,大审查/混元/bootstrap_A轮_实验世界升级.md:163,verdict,verified,四者的共同结构**：**系统总在自己参与生成的观测通道里被评价,系统总在自己参与生成的观测通道里被评价。**
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第五轮.md:201,result,verified,大审查/混元/bootstrap_自演化推演_第五轮.md:201,verdict,verified,那条路已经被实测证明有 3 种绕过方式。,这与v3的`guard`（黑名单+事后否决）形成鲜明对比——那条路已经被实测证明有3种绕过方式
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十六轮.md:37,verdict,open,大审查/混元/bootstrap_自演化推演_第二十六轮.md:37,verdict,verified,这是一个真正的好消息**：**自写入的退化压力远小于自我美化,自写入的退化压力远小于自我美化。**
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十九轮.md:57,result,refuted,大审查/混元/bootstrap_自演化推演_第十九轮.md:57,result,superseded,低污染（20%）下，正确性判断几乎不受损（97.8%），而偏好判断已崩到 67.5%,正确性判断几乎不受损（97.8%），而偏好判断已崩到67.5%**
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第六轮.md:183,method,verified,大审查/混元/bootstrap_自演化推演_第六轮.md:183,verdict,verified,观察到一个现象 → 提出一个听起来合理的补救 → 从未独立验证补救本身。**,全都是：观察到一个现象→提出一个听起来合理的补救→从未独立验证补救本身
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十一轮.md:99,method,verified,大审查/混元/bootstrap_自演化推演_第十一轮.md:99,verdict,verified,花 8 次昂贵评估测一次 r，r < 0.5 就关闭廉价筛选。**,启动演化前花8次昂贵评估测一次r，r<0.5就关闭廉价筛选
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第七轮.md:96,result,verified,大审查/混元/bootstrap_自演化推演_第七轮.md:96,result,superseded,同时最优：能力保留最高（0.797），规模最小（峰值 12）。**,"""Pareto前沿+随机采样至12条""同时最优：能力保留最高（0.797），规模最小（峰值12"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第七轮.md:51,verdict,superseded,大审查/混元/bootstrap_自演化推演_第七轮.md:51,verdict,verified,bootstrap 的优势成立的前提是 **margin 未标定**。若能通过 E17 的假阳性测量把 margin 标,修正E17（限定适用条件）**：bootstrap的优势成立的前提是**margin未标定
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第三轮.md:40,verdict,verified,大审查/混元/bootstrap_自演化推演_第三轮.md:40,result,verified,但必须诚实说明这是弱结论**：本实验**没有给元参数提供作弊通道**——margin 不影响 `U_true` 的取值，,"没有给元参数提供作弊通道**——margin不影响`U_true`的取值，演化它得不到任何直接收益，所以""没退化""是意料"
FIELD-DIFF,大审查/混元/任务报告.md:124,verdict,verified,大审查/混元/任务报告.md:124,result,verified,reward hacking 完整复现**：无门控系统把 recall 从 0.490 打到 **0.075**（几乎全,无门控系统把recall从0.490打到**0.075**（几乎全错），ΔU=−0.240
FIELD-DIFF,大审查/混元/v3.9bootstrap_v3_v4重构工单集.md:118,method,verified,大审查/混元/v3.9bootstrap_v3_v4重构工单集.md:118,verdict,verified,系统实际是**四条平行真相**（audit / ledger / memory / state），`doctor` 的四,审计链只记指针、不含payload。真相的载体只在`memory/`里，因此系统实际是**四条平行真相**（audit/
FIELD-DIFF,大审查/混元/自演化推演_实验总报告23轮后.md:275,result,verified,大审查/混元/自演化推演_实验总报告23轮后.md:275,result,superseded,1.0→2.0 收益 +0.118**（所有参数中最大） |,变异幅度**|**1.0→2.0收益+0.118
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十轮.md:22,verdict,open,大审查/混元/bootstrap_自演化推演_第二十轮.md:22,verdict,verified,前十七轮的全部护栏都不够用**——它们都在用 judge 的读数做判断,在judge可被操纵的世界里，前十七轮的全部护栏都不够用
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第六轮.md:197,method,verified,大审查/混元/bootstrap_自演化推演_第六轮.md:197,result,verified,幸好数字完全一致得太可疑，回查发现了 bug。** 修正后的 E24c 才得到真正的结论（bootstrap + 自由 ,"我一度把这个当作""bootstrap抗剥削""的证据。**幸好数字完全一致得太可疑，回查发现了bug"
FIELD-DIFF,大审查/混元/自演化推演_实验总报告.md:17,result,superseded,大审查/混元/自演化推演_实验总报告.md:17,result,contradicted,自报 +0.51 时真实 −0.09。终极安全机制,系统输出会塑造评判它的人（E14）：自报+0.51时真实−0.09
FIELD-DIFF,大审查/混元/bootstrap_完全重构_可能性空间探讨.md:212,hypothesis,open,大审查/混元/bootstrap_完全重构_可能性空间探讨.md:212,verdict,verified,基准不可信时，自动采纳会放大错误**。这是 C 的最大前置依赖,检索排序与查询无关，recall@5虚高）。**基准不可信时，自动采纳会放大错误
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第二十七轮.md:101,verdict,open,大审查/混元/bootstrap_自演化推演_第二十七轮.md:101,verdict,verified,"""盲评边际 +0.023 所以优先级低"" | 0.023 | ⚠️ **结论可能反了",结论可能反了**——本轮20种子测出+0.047|
FIELD-DIFF,大审查/codebuddy/mem-evolve-sandbox_交接/docs/实验设计.md:355,verdict,open,大审查/混元/实验设计.md:355,method,verified,"H7 的原判据""ΔU 显著下降/转负""不成立，**已按实测修正为峰值后回撤","已按实测修正为峰值后回撤**（与报告""十四轮里推翻自己14次""同构，属于开跑后的判据修正，如实记录"
FIELD-DIFF,大审查/混元/自演化推演_方法论总结.md:154,method,verified,大审查/混元/自演化推演_方法论总结.md:154,verdict,verified,是最强的 bug 信号。** 真实系统有噪声，整齐意味着某个变量没动。,"太干净的结果""是最强的bug信号"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第三轮.md:235,verdict,verified,大审查/混元/bootstrap_自演化推演_第三轮.md:235,result,verified,"宽松准入下几乎不存在""卡住""**，因为多样性保留了跨越低谷的路径","失败2（E12stuck构造）**：用宽松准入构造""卡住""，结果12/12被判为收敛——**判别器没错，是构造不成立**"
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:14,result,open,,,,| **代码层** | 核心三件套（记忆+审计+治理）165 行 = 6.8%；内容分发 213 行 > 核心。P0×4,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:15,verdict,open,,,,| **架构层** | 公理 D（双平面）物理上不成立——审计链不含 payload，系统是四条平行真相。截断攻击完全检,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:17,result,open,,,,"| **最深发现** | 系统输出会塑造评判它的人（E14）：自报 +1.50 时真实 −0.83。终极安全机制不是""防",
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:20,result,open,,,,| **底线（E40）** | 有漂移时 v3 退化到 **−0.1124（不如不演化）**，修正后架构保持 **+0.,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:40,verdict,open,,,,1. **自测结论写死**：`cmd_run_tests` 用 `except Exception`，捕获不到 `Sys,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:98,verdict,open,,,,系统实际是**四条平行真相**：`audit/`（事件指针）、`ledger/`（变更流水）、`memory/`（内容正,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:117,verdict,open,,,,Merkle 根锚定**内容集合**，不锚定**序列长度**。截断后剩余各行仍自洽。`state` 中无 `chain_,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:174,result,open,,,,| 1 | 自演化有效性 | 留出集 0.033→0.814，8/8 正 | 强 |,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:187,result,open,,,,| **14** | **评判者漂移** | **自报 +0.51，真实 −0.09** | **决定性** |,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:202,result,open,,,,| **28** | **层次化归并** | **远差于平铺（0.12 vs 0.90）；推翻 E23 建议** | *,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:205,result,open,,,,| 31 | 留出集轮换 | 未复现 E8 膨胀；结论不成立 | 否定性 |,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:331,result,contradicted,,,,**自报的进步是真实的 3.7 倍。** 未失控（150 代后平台化，训练集门起了刹车），但膨胀真实且持续。,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:457,result,open,,,,**α=0.10 时：系统自报 +1.50，真实 −0.83（从 +0.26 跌到 −0.57）。它在讨好人，不是在变好,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:459,method,open,,,,> ⚠️ **数据修正**：本表为第五轮修复特征缓存 bug 后的复核值。原报告（α=0.20 真实 0.6906 / ,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:522,result,open,,,,"1. 固定 margin 假阳性 **0.42**（n=10）——小样本下近一半""改进""是纯噪声。这是 E5 与 E13",
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:547,verdict,open,,,,| 5 | `expand_links` 是死代码 | 链接到 `f{i}` 而世界里只有 `e{i}`，**该基因从未,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:581,method,open,,,,**方向性约束**：变更只能向上申请，不能向下修改。法层永远改不了元层——**系统无法修改评判自己的尺子**。,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:630,method,open,,,,"13. **任何影响""是否被采纳""的参数必须冻结，或只能朝更严格方向演化**（E24 修正 E10）",
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:704,result,open,,,,"**0.90 → 0.85**。第四轮的""8/8 检出""是在一个几乎永远报警的设置下取得的，含金量很低。",
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:764,hypothesis,open,,,,"> 有效的方案全是""测量/利用已有可观测量""，无效的 11 条全是""发明新启发式""。",
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:827,method,open,,,,1. **让漂移可见**（锚定集审计，阈值 **0.85**，零误报且 5 代内检出）,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:835,verdict,open,,,,**自演化可行且值得**（E40：无漂移 +0.044，有漂移 +0.262），但**必须配全套护栏**——不是护栏让它,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:843,hypothesis,open,,,,"终极安全机制不是""防止被腐蚀""，而是""**腐蚀发生时能被看见并停下来**""。",
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:180,result,open,,,,| 7 | **两级门控** | 准入严格 0/20；宽松+严格晋升 20/20 | **决定性** |,
A-UNMATCHED,猴子记忆库推演/自演化推演_实验总报告17轮后.md:181,result,contradicted,,,,| 8 | 留出集污染 | 自报 0.094 vs 真实 0.025（3.7×） | 强 |,
A-UNMATCHED,大审查/混元/bootstrap_A轮_实验世界升级.md:12,method,open,,,,给条目增加四个**表象特征**（长度、格式、关键词密度、有无引用）——它们与真值**完全无关**，但 judge 能看到,
A-UNMATCHED,大审查/混元/bootstrap_A轮_实验世界升级.md:14,parameter,open,,,,judge 打分中真值所占比例；`1-alpha` = 被表象影响的比例,
A-UNMATCHED,大审查/混元/bootstrap_A轮_实验世界升级.md:27,result,verified,,,,展示权重从 0.503 涨到 2.195** —— 系统确实学会了堆表象,
A-UNMATCHED,大审查/混元/bootstrap_A轮_实验世界升级.md:40,hypothesis,open,,,,"这里 judge 的偏好从头到尾没变，它只是本来就在看表象——所以没有任何""漂移""可供检出",
A-UNMATCHED,大审查/混元/bootstrap_A轮_实验世界升级.md:44,verdict,open,,,,这三者只有在它们独立于 judge 通道时才成立,
A-UNMATCHED,大审查/混元/bootstrap_A轮_实验世界升级.md:50,method,open,,,,"定期抽 8 个样本，由人直接判断""这个结果对我有没有用""（不是""看起来好不好""），真值退化则回退",
