kind,from,relation_or_universes,anchor,quote_or_note
B-关系动词,SIM-E97,replicates,大审查/混元/bootstrap_自演化推演_第二十一轮.md:71,异常被复现：预算 120（2 次审计）反而转负，而 80（1 次审计）为正
B-关系动词,SIM-R22,refutes,大审查/混元/bootstrap_自演化推演_第二十二轮.md:6,"一个比审计更大的收益来源（+0.12），以及一个""常识""被推翻的分配结论"
B-关系动词,SIM-E105,supersedes,大审查/混元/bootstrap_自演化推演_第二十二轮.md:153,修正 E97b / 修正 68**：审计的收益**不是无条件的**，它依赖变异幅度
B-关系动词,SIM-R23,supersedes,大审查/混元/bootstrap_自演化推演_第二十三轮.md:5,幅度效应确认，但被大幅修正——它必须配审计，单独用是有害的
B-关系动词,SIM-E110,supersedes,大审查/混元/bootstrap_自演化推演_第二十三轮.md:148,对修正 72 的重大修正**：大幅度的 +0.118 是在有审计时测的；**单独加大幅度 −0.048
B-关系动词,SIM-R23,refutes,大审查/混元/bootstrap_自演化推演_第二十三轮.md:203,证伪比证实容易，所以负面清单比收益数字更稳健
B-关系动词,SIM-R24,refutes,大审查/混元/bootstrap_自演化推演_第二十四轮.md:7,主判断被推翻（两个方向都被推翻
B-关系动词,SIM-E115,contradicts,大审查/混元/bootstrap_自演化推演_第二十四轮.md:131,这与 E108（单一污染世界 v4-B +0.151 >> v4-A +0.064）**完全相反
B-关系动词,SIM-E119,contradicts,大审查/混元/bootstrap_自演化推演_第二十五轮.md:134,第 7 次出现，但机制比前 6 次都清楚：不是参数冲突，是维度不匹配
B-关系动词,SIM-R27,supersedes,大审查/混元/bootstrap_自演化推演_第二十七轮.md:98,"""回滚几乎无差""（+0.024 vs +0.022） | 0.002 | ❌ **不可信**，远低于检出限"
B-关系动词,SIM-R27,refutes,大审查/混元/bootstrap_自演化推演_第二十七轮.md:187,证伪需要比证实更强的证据**——而我一直用同样的样本量对待两者
B-关系动词,SIM-WEB-E133,contradicts,大审查/混元/bootstrap_自演化推演_第二十八轮.md:8,回退的价值取决于退化原因，符号相反**（corrupt +0.179 t=9.14 / drift −0.080 t=−4.52）
B-关系动词,SIM-E131,supersedes,大审查/混元/bootstrap_自演化推演_第二十八轮.md:17,strict 审计从「无效」改判「在漂移世界有害（本地 t=−2.60 / 网页端 t=−2.98，双实现互证
B-关系动词,SIM-R27,supersedes,大审查/混元/bootstrap_自演化推演_第二十八轮.md:38,"diag_n20 复跑（20 种子盲评显著性） | +0.0461 ± 0.0154 (sd 0.0690, t=2.99) vs 报告 +0.0466 (t="
B-关系动词,SIM-WEB-E132,refutes,大审查/混元/bootstrap_自演化推演_第二十八轮.md:48,网页端 E132（正确漂移构造，44 对）：norevert−continue = **+0.0795 (t=4.52)**、stop−continue = *
B-关系动词,SIM-R28,supersedes,大审查/混元/bootstrap_自演化推演_第二十八轮.md:59,重测清单 5 项中 2 项在加样后反转/分化（strict 反转、回滚分臂
B-关系动词,SIM-R28,supersedes,大审查/混元/bootstrap_自演化推演_第二十八轮.md:64,"两个反转方向结果都指向**伤害**（strict 有害——本地与网页端双实现互证；回滚后继续演化有害——本地数据，与网页端""stop 最差""方向一致"
B-关系动词,SIM-R28,motivated_by,大审查/混元/bootstrap_自演化推演_第二十八轮.md:110,并行轮协调成本**：本地与网页端在同一窗口各自做了第二十八轮，导致 2a 重复测量且本地版用了缺陷实现。若接手时 v4 包已存在（18:00），本可只做网页端清
B-关系动词,SIM-WEB-E132,supersedes,大审查/混元/bootstrap_自演化推演_第二十八轮-网页端.md:47,回滚后停止是最差策略**（t=−5.76）——E27 说它略好
B-关系动词,SIM-WEB-E133,contradicts,大审查/混元/bootstrap_自演化推演_第二十八轮-网页端.md:73,回退的价值取决于退化原因，且符号相反
B-关系动词,SIM-WEB-E133,supersedes,大审查/混元/bootstrap_自演化推演_第二十八轮-网页端.md:130,"E27""可回滚不是主要应对"" | **反了：它是 corrupt 下最强的单一机制"
B-关系动词,SIM-WEB-E134,supersedes,大审查/混元/bootstrap_自演化推演_第二十八轮-网页端.md:139,回退/回滚不是无条件正确的动作。必须先判别退化原因（配置跑飞 vs 世界变了），二者应对相反
B-关系动词,SIM-WEB-R28,contradicts,大审查/混元/bootstrap_自演化推演_第二十八轮-网页端.md:153,三条全错，其中两条方向相反
B-关系动词,SIM-E125,supersedes,大审查/混元/P0验证_展示权重爆炸.md:6,现象真实，但定性需要重大修正。解药不是新机制，而是已有的盲评
B-关系动词,SIM-E125,replicates,大审查/混元/P0验证_展示权重爆炸.md:33,"回退 0 次而 surf 已到 11.4** —— E112 的""审计没拦住""复现"
B-关系动词,SIM-HANDOVER,refutes,大审查/混元/HANDOVER.md:22,24 次推翻了自己的结论，**未经实验检验的直觉准确率约 50%
B-关系动词,SIM-E27,supersedes,大审查/混元/HANDOVER.md:156,回滚到历史配置应对漂移 | E27（+0.024 vs 继续演化 +0.022，几乎无差）
B-关系动词,SIM-HANDOVER,motivated_by,大审查/混元/HANDOVER.md:174,不要发明新启发式，去测量已经在那里但没人看的东西
B-关系动词,SIM-WEB-E133,contradicts,大审查/混元/HANDOVERv4.md:227,回退的价值取决于退化原因，且符号相反**（E133，配对 n=44
B-关系动词,SIM-WEB-R28,contradicts,大审查/混元/HANDOVERv4.md:254,第二十八轮用 44 对重测，三条阴性结论全错，其中两条方向相反
B-关系动词,SIM-WEB-E134,supersedes,大审查/混元/HANDOVERv4.md:336,回退/回滚不是无条件正确的动作：必须先判别退化原因（配置跑飞→回退 / 世界变了→重锚）
B-关系动词,SIM-E20,refutes,大审查/混元/bootstrap_自演化落地工单集.md:144,"使用""模型最不确定""的样本（E20 已证伪：效用是特征线性函数，信息量 ∝ 差模长，`|Δ|` 最小的对几乎不含方向信息）"
B-关系动词,SIM-E27,supersedes,大审查/混元/bootstrap_自演化落地工单集.md:384,重锚 ≠ 回滚**（E27 已证回滚几乎无效 +0.024
B-关系动词,SIM-E27,supersedes,大审查/混元/bootstrap_自演化落地工单集.md:626,回滚到历史配置 | E27（+0.024 vs 继续演化 +0.022，无收益）
B-关系动词,SIM-E96,supersedes,大审查/混元/README_内核.md:43,干净双目标 Pareto | E96/F-21 修正 | cap≥8 后平坦
B-关系动词,SIM-KERNEL,refutes,大审查/混元/README_内核.md:66,"用廉价筛选采纳""的代码在类型上就不成立"
B-关系动词,SIM-ARCH,supersedes,大审查/混元/bootstrap_自演化架构设计方案.md:3,自演化（系统能自主改进自己，且改进本身可审计、可测量、可回滚
B-关系动词,SIM-ARCH,replicates,大审查/混元/bootstrap_自演化架构设计方案.md:66,"这就是 reward hacking 的完整复现**：无门控系统在训练集上报告 +0.167 的""巨大进步""，实际留出集 **−0.052（倒退）"
B-关系动词,SIM-ARCH,supersedes,大审查/混元/bootstrap_自演化架构设计方案.md:164,"任何自动采纳必须可回滚**——档案保留完整谱系（实验验证：12/12 种子""可回滚=True"
B-关系动词,GLM-WO-v3.8,contradicts,大审查/glm/v3.8.md:94,"写了 audit/ledger/文件树却不刷 Merkle 根 → `doctor` 报""根不一致""；`t_engine_lifecycle` 把不一致固化为预"
B-关系动词,GLM-WO-v3.8,forked_from,大审查/glm/v3.8.md:178,下全部 assert 被剥离 → 测试假绿、`cmd_migrate` 的 `assert prev` 失效后审计链被无声分叉
B-关系动词,GLM-WO-v3.8,replicates,大审查/glm/v3.8.md:315,SOP 守卫段注入仍用 `write_text` → 跨平台字节不同，人侧锚定对账不可复现
B-关系动词,GLM-WO-v3.8,contradicts,大审查/glm/v3.8.md:323,importance 为**加法基线**——importance=9 的无关条目稳进 top-k，挤掉真实命中（`t_retrieve_keywords_boo
B-关系动词,GLM-WO-v3.10,refutes,大审查/glm/v3.10.md:44,daemon 常驻进程                                                      | `engine batch
B-关系动词,GLM-WO-v3.10,replicates,大审查/glm/v3.10.md:274,"golden 集生成流程不存在、""recall@5=0.455 参照线""不可复现。评测闭环不合上，公理 G（可证伪）在检索面就是空话"
B-关系动词,GLM-WEB-v4.0,refutes,大审查/glm/v3.10.md:533,公理 A–G 全文**（单一事实源 / 文档即产物 / 统一账本 / 双平面 / 根锚定 / 慢车道 / 可证伪）——在 v5 中分别由 SourcesBund
B-关系动词,GLM-WEB-v4.0,refutes,大审查/glm/v4.0-1.md:34,v4 工单 D-1 的裁决需要推翻**。当时的理由是“审计面是证明面，不是存储，重建会让链膨胀为第二存储”。那个裁决在“改造成本最小化”的前提下是对的；但在**
B-关系动词,GLM-WEB-v4.0,refutes,大审查/glm/v4.0-1.md:174,每一行状态都可向任何人证明未被篡改，每一份知识都有出处，每一次遗忘都有账本，每一次自我修改都过人类之钥，并且它对自己是否在变得更好，拥有可证伪的测量
B-关系动词,GLM-WEB-v4.0,refutes,大审查/glm/v4.0-2.md:118,激活前必须有可证伪预期，激活后必须过观测窗口；测不出差异即判表演，移 attic 并在谱系上标记 `falsified`
B-关系动词,GLM-WEB-v4.0,supersedes,大审查/glm/v4.0-2.md:133,**与铁律 1 的冲突裁决**：本项目永不物理删除，DELETE = 旧条目打 `t_invalid` + 新条目 `supersedes: [old_id]`
B-关系动词,REVIEW-GLM,supersedes,大审查/复审/GLM-裁决.md:26,可信度 A-，可直接作为执行工单**（Q-006 修正后
B-关系动词,REVIEW-GLM,contradicts,大审查/复审/GLM-裁决.md:34,**与「单文件+纯标准库」公理冲突**——GLM 自己提出 zipapp bundle 替代单 .py 形态。这是方向性变更，列 v5 另议，不进 v3.9
B-关系动词,REVIEW-GLM,contradicts,大审查/复审/GLM-裁决.md:35,REGISTRY 条数口径在系列内不一致（33 vs 32
B-关系动词,REVIEW-GLM,refutes,大审查/复审/GLM-裁决.md:41,属实且是全场最深的架构洞察**。推翻自家 v3.10 D-1 的理由（前提变了：完全重构下成本约束消失）符合 ADR 制度精神。与混元 V4-02、qwen H
B-关系动词,REVIEW-GLM,refutes,大审查/复审/GLM-裁决.md:58,与混元实验独立趋同**：GLM 纸面设计（hypothesis 可证伪/隐判据人侧/E0 优先）≈ 混元沙盒验证（双门/判据人侧/E0 优先）——两个模型独立得
B-关系动词,REVIEW-Qwen,refutes,大审查/复审/Qwen-裁决.md:27,三方收敛于「做实」**，GLM D-1 是早期裁决且其 v4.0-1 已自我推翻
B-关系动词,REVIEW-混元,supersedes,大审查/复审/混元-裁决.md:11,基线数字本身因 importance 主导缺陷而虚高，修正后基线会变（可能下降——这是判别力恢复的证据
B-关系动词,REVIEW-混元,replicates,大审查/复审/混元-裁决.md:44,原型清单列 evolve2.py（缺失）；17 轮报告复现段列 evolve4.py/run_e9.py（缺失）；run_e14c.py 首行硬编码 Linux
B-关系动词,SYN-报告一,replicates,大审查/统合报告/报告一_v3.8改进建议综合报告.md:26,MIGRATED 渲染 KeyError**：migrate 库上 build-docs --lib / install 校验即崩 | GLM Q-005（核验
B-关系动词,SYN-报告一,forked_from,大审查/统合报告/报告一_v3.8改进建议综合报告.md:30,eval 劣化覆写基线（棘轮向下）**：劣化→写基线→exit 2，二次劣化不再报 | Qwen P1-03、混元探讨-2、豆包（两证+代码确认） | 劣化分支
B-关系动词,SYN-报告三,refutes,大审查/统合报告/报告三_完全重构架构可能性研究报告.md:22,GLM 自我推翻的理由（前提变了：个人规模全量载荷几十 MB）成立；混元原型实测 300 条目 merkle 0.005s 背书。**采纳做实，增量路线（混元 
B-关系动词,SYN-报告三,refutes,大审查/统合报告/报告三_完全重构架构可能性研究报告.md:90,完全重构作为「推倒」不成立；作为「按图施工的终点」成立，且不需要推倒就能走到
B-关系动词,QWEN-v3.8,contradicts,大审查/qwen/工单 v3.8.extract.txt:128,都不回写 `state.merkle_root`。随后 `doctor`/`install 校验` 必报“根不一致
B-关系动词,QWEN-v3.8,extends,大审查/qwen/工单 v3.8.extract.txt:198,全树重算 O(n)”为已知扩展性项，非本工单缺陷；建议 v3.10 单独立项做增量哈希树
B-关系动词,QWEN-v4.0-RF,contradicts,大审查/qwen/工单 v4.0-RF · 完全重构架构设计.extract.txt:22,投影**不可重建**，doctor 只能报告不一致、无法修复——事件溯源说了，没做
B-关系动词,QWEN-POSS,supersedes,大审查/qwen/探讨-1.extract.txt:40,若攻击仍能落盘、仅事后被报 → H1 判表演，回滚
B-关系动词,DB-AGORA,contradicts,大审查/豆包/agora_群体智慧沙盒_实验总报告.md:18,"聚合机制不是中立管道**：同一批人，换公开顺序/计票规则/聚合算子/分组方式，结论可以相反。不存在""让群体自己说话""，只存在""用什么规则让群体说话"
B-关系动词,DB-AGORA,forked_from,大审查/豆包/agora_群体智慧沙盒_实验总报告.md:45,100 次好评的老号信誉 102，刚注册的新号信誉 1.0（同权）；连续 50 次差评的账号信誉仍是 1.0——**差评分支什么都不做
B-关系动词,DB-L9PATCH,contradicts,大审查/豆包/L9补丁说明.md:5,level_mapping_补丁后.json`（替换 `bootstrap_data/level_mapping.json`，否则 `t_absorb_mapp
B-关系动词,DB-CODEAUDIT,contradicts,大审查/豆包/v3.8bootstrap_v3 代码审查工单（完整版）.md:14,"VERSION = ""3.8.1""（文件头注释声称 v3.8.2，存在不一致"
B-关系动词,DB-CODEAUDIT,forked_from,大审查/豆包/v3.8bootstrap_v3 代码审查工单（完整版）.md:817,读取最后一行哈希与追加新行之间无文件锁，并发调用导致链分叉
B-关系动词,DB-CODEAUDIT,contradicts,大审查/豆包/v3.8bootstrap_v3 架构优化专项工单.md:60,append 涉及 4 个文件写入（memory+audit+ledger+state），中途崩溃则不一致 | 崩溃后数据不一致，doctor 只能检测无法自动
B-关系动词,CB-MEMEVOLVE,replicates,大审查/codebuddy/mem-evolve-sandbox_交接/docs/实验设计.md:59,**禁用** `hash(str)` 作种子（Python 字符串哈希带进程级盐，会破坏可复现性——已在 `world.py` 显式规避
B-关系动词,CB-MEMEVOLVE,replicates,大审查/codebuddy/mem-evolve-sandbox_交接/docs/实验设计.md:169,铁律 2 **未拦截**（空串绕过，复现 P0-2）；铁律 5 拦截正常
B-关系动词,CB-MEMEVOLVE,refutes,大审查/codebuddy/mem-evolve-sandbox_交接/docs/实验设计.md:355,"H7 的原判据""ΔU 显著下降/转负""不成立，**已按实测修正为峰值后回撤"
B-关系动词,CB-MEMEVOLVE,supersedes,大审查/codebuddy/mem-evolve-sandbox_交接/docs/实验设计.md:358,冻结后自报−真实缺口仍残留 +0.14~+0.21。这与报告 E26/E27 一致——真正解决问题的是**重锚**（重新采集人类判断），不是冻结/回滚
B-关系动词,CB-MEMEVOLVE,replicates,大审查/codebuddy/mem-evolve-sandbox_交接/docs/任务报告.md:125,reward hacking 完整复现**：无门控系统把 recall 从 0.490 打到 **0.075**（几乎全错
B-关系动词,CB-MEMEVOLVE,contradicts,大审查/codebuddy/mem-evolve-sandbox_交接/docs/任务报告.md:172,初版（8 种子 × 40 代）**未获证实**（0.5135 vs 0.5131），根因是原 switch 地形没有真实冲突
B-关系动词,CB-MEMEVOLVE,replicates,大审查/codebuddy/mem-evolve-sandbox_交接/docs/任务报告.md:198,"预算 < 150 时终局为负""未复现**：本沙盒的预算模型只限制代数"
B-关系动词,CB-MEMEVOLVE,replicates,大审查/codebuddy/mem-evolve-sandbox_交接/docs/任务报告.md:277,地形塑形项是基因组级的，必须摊到逐任务分上，否则留出集配对比较看不见它（E7 直接复现失败
B-关系动词,CB-MEMEVOLVE,contradicts,大审查/codebuddy/mem-evolve-sandbox_交接/docs/任务报告.md:313,第七轮重做后成立**（档案层面 0.2609 vs 0.2293） | 初版地形无真实冲突；把成本项权重变号后才测出
B-关系动词,CB-MEMEVOLVE,replicates,大审查/codebuddy/mem-evolve-sandbox_交接/docs/任务报告.md:315,"E64 预算 < 150 终局恒为负 | **未复现** | 预算模型缺少""演化的固定成本""项，结构上不可能为负"
B-关系动词,CB-MEMEVOLVE,replicates,大审查/codebuddy/mem-evolve-sandbox_交接/docs/实验报告.md:300,"**E52 未复现**（报告称 70% 独立噪声几乎无损）：本沙盒噪声是""把金标替换成随机条目"
B-关系动词,VERIF-B4,replicates,猴子记忆库推演/reports/00-验证总报告.md:35,12 进程丢更新 92%，accum=5≠60 | repro_p04（spawn 真进程×20 轮×2 时序） | barrier：**20/20 轮恰为 5
B-关系动词,VERIF-C3,contradicts,猴子记忆库推演/reports/00-验证总报告.md:43,同 id 跨层共存 | repro_p1_crosslayer | 同 id 二次 append(imp=8) 未被拒；两层各一份冲突内容；doctor 五态全
B-关系动词,VERIF-E1,refutes,猴子记忆库推演/reports/00-验证总报告.md:63,公理 D 不成立：审计链不含 payload，四条平行真相 | repro_a1① | e0 审计行=时间戳+prev+哈希+指针，content 0 命中；s
B-关系动词,VERIF-E3,contradicts,猴子记忆库推演/reports/00-验证总报告.md:65,健康信号过载：官方命令后必报根不一致（2.4） | repro_p1_stale_root | 报告序列 eval→reflect→guard--snapsho
B-关系动词,VERIF-F4,supersedes,猴子记忆库推演/reports/00-验证总报告.md:74,原型B：git 七项能力（含 GPG 令牌） | proto_b（git 2.55+临时 GPG 密钥） | **8/8 全过**：链式/篡改检出/回滚/分支隔
B-关系动词,VERIF-X4,supersedes,猴子记忆库推演/reports/00-验证总报告.md:91,"版本记账落差**：VERSION=""3.8.1"" 与文件头注释「v3.8.2 中性化修正」并存，头注释所指 RELEASE.md 不存在于目录。（报告以 v3."
B-关系动词,VERIF-X5,refutes,猴子记忆库推演/reports/00-验证总报告.md:92,自我推翻计数口径不统一**：报告头「15 次自我推翻」vs 摘要「14 次判断」vs 第四部分表题「七次自我推翻」（表实为 7 行）。分轮文档缺席无法核全账
B-关系动词,VERIF-TOTAL,refutes,猴子记忆库推演/reports/00-验证总报告.md:122,证实 26 项、部分证实/表述偏差 3 项、已被修复 1 项（P0-1b）、证伪 0 项、无法验证（材料缺失）11+ 项
B-关系动词,VERIF-FINAL,replicates,猴子记忆库推演/reports/00-验证总报告.md:124,可数结论零误差，机制性结论全部动态复现，动态数字（92%、60、五态全一致、doctor 首行输出）精确到逐字；唯一「与源码不符」的条目是报告写作时点之后已被修
B-关系动词,VERIF-S1-01,forked_from,猴子记忆库推演/reports/01-阶段1-版本对账与静态判定.md:27,记忆与检索 90 行 | 独立口径 37–90（取决于 engine 分支归属；报告未给分类边界） | ⚠️ 无法精确复刻，量级一致
B-关系动词,VERIF-S4-03,replicates,猴子记忆库推演/reports/04-阶段4-架构诊断复现.md:29,报告展示的 doctor 首行**逐字复现**；链校验（逐行重算）与根对账对尾部截断**双失明**——「Merkle 根锚定内容集合、不锚定序列长度」「stat
B-关系动词,VERIF-S5-01,replicates,猴子记忆库推演/reports/05-阶段5-统计复核.md:6,E7 两级门控 —— ✅ 证实（完美分离精确复现）
B-关系动词,VERIF-S5-02,replicates,猴子记忆库推演/reports/05-阶段5-统计复核.md:13,「完美分离，无一例外」在 24 种子下复现。地形自检：f(0.5)=0.500 局部最优 / f(0.9)=0.900 全局 / 谷底 f(0.68)=0.10
B-关系动词,VERIF-P4,refutes,猴子记忆库推演/reports/progress.md:90,三态判定总表（证实26/部分3/已修1/证伪0/无法验证11+）+ 不符项清单 6 条 + 方法论检验
B-关系动词,PART2-H-R2-1,replicates,大审查/data-archive.csv:5,"2,H-R2-1,LIT-REPLICATE,边界,0.5457,0.7,0.10,0.4611,REFUTED,二次平坦景观(1-d2)+1候选/代+step"
B-关系动词,PART2-H-R3-1,replicates,大审查/data-archive.csv:7,"3,H-R3-1,LIT-REPLICATE,机制,0.3782,0.75,0.92,0.3782,SUPPORTED,目标间距>=1.2二次景观; sigma"
B-关系动词,PART2-H-R4-1,refutes,大审查/data-archive.csv:10,"4,H-R4-1,DATA-DRIVEN,证伪,0.6492,0.45,0.90,0.4059,SUPPORTED,窄高斯峰r0.15+超平坦远场; sigma"
B-关系动词,PART2-H-R4-2,refutes,大审查/data-archive.csv:11,"4,H-R4-2,DATA-DRIVEN,证伪,0.5000,0.5,0.15,0.4059,INCONCLUSIVE,假采纳率0.7628>平坦0.5243("
B-关系动词,PART2-H-R7-1,refutes,大审查/data-archive.csv:16,"7,H-R7-1,DATA-DRIVEN,证伪,NA,0.55,0.15,NA,INCONCLUSIVE,41合格run全部|gain|>=0.1(小增益层n="
B-关系动词,PART2-H-R7-2,refutes,大审查/data-archive.csv:17,"7,H-R7-2,DATA-DRIVEN,证伪,NA,0.45,0.15,NA,INCONCLUSIVE,其他源(豆包/混元)>=8点run=0; 平台化证据4"
B-关系动词,PART2-H-R8-1,replicates,大审查/data-archive.csv:18,"8,H-R8-1,LIT-REPLICATE,机制,0.7009,0.75,0.90,0.2252,SUPPORTED,平坦二次世界sigma0.08/m0.0"
B-关系动词,PART2-H-R8-2,extends,大审查/data-archive.csv:19,"8,H-R8-2,LIT-REPLICATE,机制,0.7984,0.55,0.85,0.0417,SUPPORTED,终值0.7984非劣且优于单阶段+0.0"
B-关系动词,PART2-H-R12-1,refutes,大审查/data-archive.csv:26,"12,H-R12-1,DATA-DRIVEN,证伪,0.6882,0.35,0.05,0.6882,REFUTED,""A套(0.05/0.30)0.895>0."
B-关系动词,R2-SUM-T3,replicates,大审查/zcode/R2全批次总报告.md:18,C6 关闭；E42 复现；修正 85 部分升格 | C6 关闭；C2 部分关闭；C3 关闭（带新边界）
B-关系动词,R2-T1-2a,refutes,大审查/zcode/R2全批次总报告.md:41,"判据 a（只自写≥全库 80%）**不成立**：按""作者身份""分层切不对——低 rv 不是 junk 的唯一伤害面，自抬轿高 imp 的表面条目（rv 中等）才"
B-关系动词,R2-T1-2b,replicates,大审查/zcode/R2全批次总报告.md:42,"判据 b（混合裁判 N4≥纯真值 80%）**不成立**：α=0.3 的 judge 连""挑出待整理候选""都做不好（E122""judge 低效""在候选选择层的复"
B-关系动词,R2-T1-3,refutes,大审查/zcode/R2全批次总报告.md:48,gain≥−0.03 成立、均质≥0.35 不成立 → **强形式失败**
B-关系动词,R2-T1-4,replicates,大审查/zcode/R2全批次总报告.md:52,三开不是正交互，**复合失配台账 +1**（第 9 例）。E123 锚点格（有审计无整理最差）未复现——本 harness 的审计=cfg 回退，在数据空间几乎
B-关系动词,R2-T2-2,supersedes,大审查/zcode/R2全批次总报告.md:63,"全部 ≥ static（0.0813）。**三振**：与 deepseek 探针 6、R1-2 并列，""E80 负交互在修正架构下结构性不可达""升格定理候选"
B-关系动词,R2-T3-2a,replicates,大审查/zcode/R2全批次总报告.md:71,valley 地形精确复现 E42 语义**——strict 步进贪心被 dip 锁死（f=0.913，达峰 9/12）vs loose 三步路径跨谷（f=1.
B-关系动词,R2-T3-2b,replicates,大审查/zcode/R2全批次总报告.md:71,"E41 原始""严格 +0.165 反而更好""未在本网格任何地形复现**→ C2 裁决为部分关闭：谷地形下宽松严格立判（E42 复现）；E41 原数字的机制（疑似"
B-关系动词,R2-T4-5,replicates,大审查/zcode/R2全批次总报告.md:91,触发式刷新 T=0.4062 > never/p10/p25 0.3563**（E26/E69 方向复现：重锚有效
B-关系动词,R2-M5,supersedes,大审查/zcode/R2全批次总报告.md:109,E80 级负交互在修正架构下结构性不可达**（三振；同源门天然不放大） | T2-2 + 探针6 + R1-2 | 定理候选
B-关系动词,R2-ANCH-1,replicates,大审查/zcode/R2全批次总报告.md:123,E121 α 梯度 −0.067→−0.004 | T1-1 v1/v2 | **未复现（两次）→收线**，梯度噪声稳健性存疑
B-关系动词,R2A-T2-1,replicates,大审查/zcode/批次R2-A报告.md:14,E81 机制精确复现**（w_show→2.256 vs 混元 2.195；自报 P→0.79 vs deepseek 0.7708；static T 0.47
B-关系动词,R2A-T1-1,replicates,大审查/zcode/批次R2-A报告.md:15,E121 α 梯度两次构造均未复现**（v1 Δ=0.005、v2 Δ=0.002，皆塌缩）→按纪律**收线**；但复现了 writalloc 不漂移（0.51
B-关系动词,R2A-T3-1,replicates,大审查/zcode/批次R2-A报告.md:16,护栏代价符号随**世界改进结构**翻转——clean 世界复现 deepseek 负代价（**−0.0625，与 deepseek 原始 0.7500−0.81
B-关系动词,R2A-T4-4,replicates,大审查/zcode/批次R2-A报告.md:17,legacy doctor 仅 1/4 检出（截断/并发丢更新/孤儿写+重算根全静默——R1-3 密码学静默精确复现）；hardened（chain_tip+派
B-关系动词,R2A-T1-1r,supersedes,大审查/zcode/批次R2-A报告.md:56,"natural 臂 w 终值 0.514/0.524/0.526（三档 α，起点 0.5）——混元修正 95 的""不迎合 judge""在本 harness 成立"
B-关系动词,R2A-T1-1c2,replicates,大审查/zcode/批次R2-A报告.md:58,"curate_truth 是唯一转正臂（+0.034~+0.045）**——E123""整理是数据空间的前提""的同构复现，且指出工程盲区：**数据空间的门必须装在"
B-关系动词,R2A-C6,refutes,大审查/zcode/批次R2-A报告.md:79,"各自在其世界为真**；架构文档应改为条件式表述（护栏代价符号=世界改进结构的函数），任何""护栏免费/护栏有价""的无条件表述都不成立"
B-关系动词,R2A-T4-4a,replicates,大审查/zcode/批次R2-A报告.md:85,A1 截断尾 2 行 | **静默**（前缀链自洽、集合根不变——R1-3 精确复现
B-关系动词,PLAN-C,contradicts,大审查/zcode/第二批推演沙盒实验树_规划.md:24,C1-C6 跨源矛盾（C1=E14 双值已裁决不可；C2=严格准入跨轮反转；C3=自适应跨轮反转；C6=护栏代价方向对立）；衔尾蛇 X6c 实测派生在真实库冷启
B-关系动词,DB-R7,refutes,大审查/zcode/豆包9.9_重点实验分支树设计.md:4,第七轮 12 个破坏性实验 E32-E43（方向 G-K）** + 诚实记录（16 返工/13 自我推翻，新增 S11/S12/S13）+ 红线 38-47 +
B-关系动词,DB-PLAN,replicates,大审查/zcode/豆包9.9_重点实验分支树设计.md:43,26 叶 / 5 P0。预估总量 ≈ 第七轮的 1.5 倍（第七轮 577 行 56s），全部纯标准库可复现
B-关系动词,DB-T0-1,contradicts,大审查/zcode/豆包9.9_重点实验分支树设计.md:53,权威数字表 100% 一致 = PASS；任何不一致即停，按大审查 PART I 流程出 diff 报告
B-关系动词,REAL-X0,replicates,大审查/衔尾蛇/reports/X0_环境自检与等价性.md:11,"**复现源码 P0-1**：71 个自测只跑 9 个即静默中止（rc=1），与报告""第 10 个用例中止""分毫不差"
B-关系动词,REAL-X1,replicates,大审查/衔尾蛇/reports/X1_静态基线.md:3,三探针全部复现报告代码审查的预测：并发丢更新 75%、截断攻击密码学层全盲、绕过引擎编辑被 doctor 当场抓住
B-关系动词,REAL-X1,replicates,大审查/衔尾蛇/reports/X1_静态基线.md:31,报告 P0-4 的 lost-update 在 8 进程下实测复现（其 12 进程为 92%）。
B-关系动词,REAL-X1,replicates,大审查/衔尾蛇/reports/X1_静态基线.md:40,复现报告 2.3：Merkle 根锚定内容集合不锚定序列，截断后剩余行自洽
B-关系动词,REAL-X1,contradicts,大审查/衔尾蛇/reports/X1_静态基线.md:47,"绕过引擎直接编辑 10 条 `t_invalid` → **doctor 立刻报""根不一致""**（写后刷根纪律抓到了绕行）；"
B-关系动词,REAL-X1,replicates,大审查/衔尾蛇/reports/X1_静态基线.md:56,H3 已知例外清单**（写入总报告）：并发 accumulator 丢失、截断密码学层盲区、引擎外编辑需 doctor 事后抓——三者均已实测复现；
B-关系动词,REAL-X2a,supersedes,大审查/衔尾蛇/reports/X2a_演化主实验.md:49,"子串误判风险（预检时发现） | 改判据为 `""全一致"" in 输出`（doctor 仅全一致时打印该短语） |"
B-关系动词,REAL-X2c,replicates,大审查/衔尾蛇/reports/X2bcd_防作弊遗忘重组.md:3,灾难性遗忘方向复现（Pareto ≥ 单一）且效应量随目标冲突强度放大
B-关系动词,REAL-X2c,refutes,大审查/衔尾蛇/reports/X2bcd_防作弊遗忘重组.md:17,"v1 构造不成立（否定性登记）**：B 目标""省无关条目""被诊断出结构性平坦——话题=5 条目/主题，top-5 无关数恒 ≈4，任何参数改不动"
